Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
4,1,1,17.5,0.013431366,1.08,6,130
4,1,2,17,0.013050328,1.082,3,120
4,1,3,17,0.013148287,1.081,3,120
4,1,4,17,0.013023541,1.08,7,60
4,1,5,17,0.013079939,1.079,5,60
4,1,6,17,0.013038363,1.079,5,70
4,1,7,17,0.013065117,1.081,2,80
4,1,8,17,0.012925622,1.081,2,90
4,1,9,17.1,0.012929029,1.08,6,30
4,1,10,17.2,0.012834882,1.079,7,30
4,1,11,17.6,0.01297966,1.076,6,30
4,1,12,18,0.013090903,1.072,6,200
4,1,13,19.5,0.014203294,1.061,4,350
4,1,14,19.5,0.013804205,1.056,4,90
4,1,15,21.1,0.01547095,1.048,2,200
4,1,16,20.8,0.015040341,1.048,2,40
4,1,17,20.9,0.015106145,1.047,4,180
4,1,18,18.4,0.013716524,1.068,6,150
4,1,19,18.5,0.013669218,1.067,2,80
4,1,20,18.5,0.01408581,1.07,3,70
4,1,21,18.5,0.014294335,1.072,2,100
4,1,22,18.5,0.014278013,1.073,3,60
4,1,23,18.5,0.014486685,1.075,3,190
4,1,24,18.4,0.014476252,1.076,3,120
4,2,1,18,0.014038264,1.076,4,20
4,2,2,18.5,0.014377788,1.073,6,30
4,2,3,18.5,0.014503013,1.073,5,50
4,2,4,18.3,0.014289919,1.073,6,30
4,2,5,18.3,0.014347833,1.072,4,30
4,2,6,18.2,0.014171245,1.072,2,30
4,2,7,18.3,0.014331646,1.073,0,0
4,2,8,18,0.013929033,1.074,3,70
4,2,9,18.3,0.014289919,1.073,4,30
4,2,10,18.8,0.014304095,1.067,3,30
4,2,11,19,0.013729974,1.062,3,320
4,2,12,19,0.012940243,1.057,5,360
4,2,13,19,0.012583764,1.053,6,300
4,2,14,19.2,0.012753573,1.05,5,290
4,2,15,20,0.013239704,1.043,5,270
4,2,16,20.2,0.013611883,1.043,5,280
4,2,17,20.3,0.014298436,1.046,6,240
4,2,18,17.8,0.013528233,1.071,11,330
4,2,19,17.6,0.013181394,1.071,4,240
4,2,20,17.7,0.013422147,1.073,2,220
4,2,21,18,0.013929033,1.074,3,320
4,2,22,17.5,0.01342028,1.077,0,0
4,2,23,17.2,0.013072601,1.078,4,110
4,2,24,17.2,0.013155764,1.079,2,270
4,3,1,17.8,0.013871733,1.076,0,0
4,3,2,17.5,0.013602126,1.077,3,40
4,3,3,17,0.012955227,1.079,2,340
4,3,4,17.3,0.01356504,1.078,1,360
4,3,5,17,0.013177969,1.079,2,350
4,3,6,17.3,0.013580232,1.077,1,350
4,3,7,16.5,0.012834186,1.082,1,350
4,3,8,16.5,0.01275109,1.081,1,20
4,3,9,17.5,0.013352369,1.076,0,0
4,3,10,18.6,0.013904971,1.067,0,0
4,3,11,20.3,0.015202968,1.056,3,330
4,3,12,20.2,0.014824871,1.054,5,310
4,3,13,20.2,0.01424108,1.05,5,330
4,3,14,18.6,0.011912351,1.053,6,310
4,3,15,18.5,0.011586664,1.05,5,290
4,3,16,18.7,0.011998606,1.05,7,320
4,3,17,18.3,0.011251246,1.049,5,330
4,3,18,18.1,0.011231943,1.051,5,280
4,3,19,18,0.011455026,1.055,4,250
4,3,20,19.2,0.014984723,1.067,5,140
4,3,21,19.2,0.015110149,1.068,4,140
4,3,22,19.2,0.015260335,1.07,4,20
4,3,23,18.8,0.014913768,1.073,2,30
4,3,24,18.4,0.014534231,1.075,1,180
4,4,1,16.7,0.012502962,1.081,3,210
