Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
3,1,1,20.2,0.015624444,1.062,0,0
3,1,2,20.4,0.0159588,1.062,1,250
3,1,3,19,0.014546791,1.069,5,180
3,1,4,19.1,0.015061772,1.071,6,190
3,1,5,19.1,0.015120575,1.071,4,190
3,1,6,19,0.015023216,1.071,3,150
3,1,7,18,0.013855731,1.076,3,150
3,1,8,18.2,0.013998031,1.075,0,0
3,1,9,19,0.014571715,1.07,2,160
3,1,10,20.1,0.015610476,1.066,2,120
3,1,11,20.3,0.015775662,1.064,1,120
3,1,12,20.5,0.015650041,1.061,5,60
3,1,13,21,0.016351502,1.059,1,60
3,1,14,21,0.015742156,1.054,2,120
3,1,15,20.5,0.015436023,1.057,3,170
3,1,16,20,0.01491653,1.059,5,170
3,1,17,20.5,0.015854568,1.06,7,160
3,1,18,18.5,0.014220013,1.074,8,100
3,1,19,18.5,0.014236297,1.073,4,150
3,1,20,19.2,0.015292848,1.074,3,360
3,1,21,19.1,0.015069738,1.074,0,0
3,1,22,19.3,0.015349177,1.074,0,0
3,1,23,19.2,0.015234017,1.075,2,140
3,1,24,19,0.0150814,1.077,3,90
3,2,1,18.6,0.014573827,1.078,2,90
3,2,2,18.6,0.014590154,1.077,3,80
3,2,3,18.6,0.014590154,1.077,4,60
3,2,4,18.5,0.014537646,1.078,2,90
3,2,5,18.1,0.014082533,1.079,1,90
3,2,6,18,0.014048397,1.079,1,30
3,2,7,17.9,0.014066715,1.081,3,50
3,2,8,18,0.013990969,1.08,2,40
3,2,9,18.6,0.014490313,1.077,4,40
3,2,10,18.6,0.014073109,1.074,7,50
3,2,11,19.5,0.014759879,1.07,7,40
3,2,12,21,0.016313403,1.062,5,70
3,2,13,20.5,0.014879163,1.057,2,60
3,2,14,22.1,0.016301393,1.046,0,0
3,2,15,21.6,0.015546008,1.046,0,0
3,2,16,23.5,0.019242377,1.044,9,140
3,2,17,22.1,0.017812361,1.054,10,90
3,2,18,21.1,0.016899246,1.06,3,120
3,2,19,21,0.016981328,1.064,4,120
3,2,20,20.6,0.016552207,1.066,5,140
3,2,21,20.3,0.016260465,1.069,5,150
