Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
1,1,1,15.9,0.011758182,1.089,2,120
1,1,2,15.9,0.011758182,1.089,2,160
1,1,3,16.1,0.012099917,1.088,1,170
1,1,4,16.2,0.012237255,1.086,0,0
1,1,5,15.9,0.012199983,1.089,1,70
1,1,6,15.6,0.012000972,1.091,8,50
1,1,7,15.8,0.012064295,1.091,7,30
1,1,8,16,0.012142869,1.089,5,30
1,1,9,16.7,0.01259861,1.085,4,30
1,1,10,17.5,0.012917128,1.078,5,50
1,1,11,18.8,0.013529487,1.067,1,20
1,1,12,19.6,0.013477196,1.057,2,30
1,1,13,20,0.013690009,1.052,4,330
1,1,14,20.5,0.013684828,1.045,2,340
1,1,15,19.5,0.012682746,1.049,4,10
1,1,16,19.2,0.01409119,1.062,8,70
1,1,17,19,0.013397188,1.06,9,80
1,1,18,19,0.014330179,1.065,4,130
1,1,19,19.3,0.014790733,1.064,3,180
1,1,20,19.6,0.01529861,1.064,2,120
1,1,21,19.4,0.015206833,1.067,3,130
1,1,22,19.5,0.015306406,1.067,3,90
1,1,23,19.5,0.015456376,1.069,2,60
1,1,24,19.5,0.015414518,1.069,3,70
1,2,1,18.4,0.013934006,1.072,6,40
1,2,2,18.3,0.013856846,1.071,6,30
1,2,3,18.3,0.014065232,1.073,7,30
1,2,4,17.9,0.013879289,1.075,7,50
1,2,5,17.6,0.013649821,1.077,5,40
1,2,6,17.5,0.013545164,1.078,3,20
1,2,7,17.7,0.013765816,1.078,4,20
1,2,8,18,0.01339772,1.073,2,360
1,2,9,19.1,0.014226673,1.066,2,330
1,2,10,19,0.013089504,1.059,3,330
1,2,11,20,0.014499183,1.056,5,330
1,2,12,20.1,0.01416134,1.052,8,340
1,2,13,20.5,0.0142026,1.047,6,290
1,2,14,22,0.015870287,1.038,6,300
1,2,15,21.5,0.014740554,1.036,7,290
1,2,16,21.5,0.014698878,1.035,8,310
1,2,17,21.2,0.014428558,1.036,7,350
1,2,18,20.8,0.013994829,1.038,6,320
1,2,19,20.5,0.01380071,1.04,5,300
1,2,20,20.5,0.01415651,1.044,3,340
1,2,21,19.3,0.012893097,1.05,0,0
1,2,22,19.3,0.013041884,1.052,3,340
1,2,23,19.3,0.013124919,1.053,0,0
1,2,24,20,0.014433748,1.055,2,360
1,3,1,20,0.014618576,1.055,1,360
1,3,2,20.3,0.015239751,1.054,3,360
1,3,3,19.7,0.015166187,1.061,13,270
1,3,4,18.5,0.014577533,1.071,6,280
1,3,5,19.1,0.015255419,1.068,6,350
1,3,6,19.2,0.0153537,1.067,7,340
1,3,7,19.2,0.015228175,1.066,6,350
1,3,8,19.4,0.015367091,1.066,9,330
1,3,9,19.5,0.015383221,1.065,10,340
1,3,10,19.5,0.015233422,1.062,10,310
1,3,11,20,0.015490368,1.058,12,330
1,3,12,20,0.015490368,1.058,12,320
1,3,13,20,0.01532304,1.057,10,310
1,3,14,20.5,0.016157447,1.055,11,300
1,3,15,19.6,0.01501708,1.058,8,330
1,3,16,20,0.01586169,1.058,9,290
1,3,17,19.8,0.015823709,1.06,13,290
1,3,18,19,0.015066329,1.065,9,330
1,3,19,18.8,0.014872206,1.066,6,290
1,3,20,18.6,0.014329757,1.066,5,320
1,3,21,18.9,0.014701348,1.065,5,300
1,3,22,19.5,0.015526338,1.065,7,300
1,3,23,19.6,0.015668758,1.064,8,310
1,3,24,17.9,0.014145219,1.075,9,190
1,4,1,16.6,0.012877026,1.081,4,200
1,4,2,16.6,0.012835471,1.081,2,210
1,4,3,16.5,0.012807042,1.081,3,210
1,4,4,16,0.012308962,1.082,5,200
1,4,5,15.4,0.011826776,1.086,4,190
1,4,6,15.3,0.011776172,1.088,4,200
1,4,7,15.2,0.011767642,1.09,5,210
1,4,8,15.5,0.011920475,1.088,2,180
1,4,9,16,0.012308738,1.086,2,180
1,4,10,16,0.012267252,1.086,2,180
1,4,11,16.6,0.012765018,1.083,2,150
1,4,12,16.2,0.01247274,1.085,2,160
1,4,13,16.6,0.012765018,1.083,2,100
1,4,14,16.6,0.012598891,1.082,3,120
1,4,15,17.1,0.012543532,1.074,3,110
