Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
6,1,1,14.8,0.011237661,1.105,3,120
6,1,2,14.8,0.01122516,1.106,2,120
6,1,3,14.8,0.011237661,1.105,2,120
6,1,4,14.8,0.011250189,1.103,2,120
6,1,5,14.8,0.011262744,1.102,3,120
6,1,6,14.5,0.011038881,1.104,1,160
6,1,7,14.1,0.010787812,1.106,3,140
6,1,8,14.3,0.010879688,1.106,3,100
6,1,9,14.5,0.011067914,1.105,5,190
6,1,10,14.5,0.011014296,1.106,5,90
6,1,11,14.6,0.011005636,1.105,5,120
6,1,12,15,0.010822713,1.098,3,110
6,1,13,15.1,0.010679669,1.097,3,70
6,1,14,15.4,0.010304635,1.09,4,100
6,1,15,16.2,0.010953844,1.085,6,90
6,1,16,16,0.010599276,1.083,7,80
6,1,17,15.8,0.010233169,1.083,4,120
6,1,18,16.7,0.012167806,1.087,6,150
6,1,19,16.4,0.012373784,1.092,7,130
6,1,20,15.8,0.011761569,1.094,5,150
6,1,21,15.6,0.011685578,1.095,2,150
6,1,22,15.4,0.011694212,1.098,3,90
6,1,23,15.5,0.011813944,1.097,2,110
6,1,24,15,0.011426957,1.1,0,0
6,2,1,14.6,0.011290913,1.103,4,40
6,2,2,14.6,0.011179271,1.101,7,60
6,2,3,14.6,0.011179271,1.101,9,40
6,2,4,14.5,0.011117304,1.1,7,30
6,2,5,14.3,0.01096974,1.101,6,40
6,2,6,14.2,0.010896611,1.102,4,40
6,2,7,14.1,0.010823914,1.102,5,50
6,2,8,14,0.010751646,1.103,3,30
6,2,9,14,0.010751646,1.103,3,50
6,2,10,14.5,0.010774355,1.099,4,40
6,2,11,15.6,0.011243694,1.091,3,40
6,2,12,17,0.011980885,1.081,3,20
6,2,13,18.2,0.012894236,1.072,3,340
6,2,14,20,0.014797183,1.061,3,340
6,2,15,19.9,0.014337683,1.058,6,340
6,2,16,19.8,0.01442083,1.058,5,360
6,2,17,19.6,0.014136326,1.059,6,360
6,2,18,19.5,0.013994982,1.059,5,310
6,2,19,18.9,0.013724963,1.066,3,310
6,2,20,18,0.013298779,1.073,3,30
6,2,21,18,0.013631698,1.076,4,40
6,2,22,17.8,0.01340853,1.076,2,20
6,2,23,16.7,0.01259861,1.085,4,30
6,2,24,16.5,0.012652252,1.086,3,20
6,3,1,15.6,0.011793779,1.09,2,320
6,3,2,15.2,0.011479846,1.092,3,340
6,3,3,15.4,0.011760128,1.092,3,330
6,3,4,15,0.011504063,1.093,3,20
6,3,5,14.8,0.011322819,1.092,4,10
6,3,6,14.5,0.011138309,1.094,4,10
6,3,7,14.2,0.01087509,1.095,3,330
6,3,8,13.7,0.010295847,1.097,6,340
6,3,9,14.5,0.010700171,1.093,7,330
6,3,10,16.4,0.011932479,1.083,5,330
6,3,11,17.4,0.012621245,1.077,6,320
6,3,12,18.6,0.013339975,1.068,7,300
6,3,13,19.5,0.014019283,1.061,8,300
6,3,14,20,0.014499183,1.056,7,330
6,3,15,20.2,0.014579806,1.055,7,330
6,3,16,19.3,0.013838962,1.06,5,310
6,3,17,16.6,0.012694703,1.085,4,360
6,3,18,16,0.011949378,1.086,5,350
6,3,19,16.2,0.012251246,1.085,3,10
6,3,20,16.3,0.012361232,1.086,0,0
6,3,21,15.7,0.011749151,1.088,4,360
6,3,22,15.4,0.011539857,1.091,3,360
6,3,23,15.2,0.011384028,1.092,2,40
6,3,24,14.5,0.011088376,1.099,3,170
6,4,1,14.1,0.010877312,1.102,3,160
6,4,2,14.1,0.010836001,1.101,0,0
6,4,3,13.9,0.010691732,1.102,1,30
6,4,4,13.6,0.010572767,1.103,2,360
6,4,5,13.4,0.010515055,1.105,0,0
6,4,6,13.4,0.010515055,1.105,0,0
6,4,7,13.4,0.010515055,1.105,2,160
6,4,8,14,0.010722356,1.101,1,110
6,4,9,14.3,0.011135094,1.103,0,0
6,4,10,15.3,0.011450788,1.097,2,180
6,4,11,15.3,0.011037257,1.094,2,130
6,4,12,15,0.010806867,1.095,4,90
6,4,13,16,0.011604571,1.089,2,250
6,4,14,16,0.011977347,1.092,3,120
6,4,15,16.4,0.01194573,1.086,1,100
6,4,16,16.5,0.012277576,1.087,1,180
6,4,17,17,0.012881459,1.085,2,30
6,4,18,16.6,0.01249997,1.086,2,60
6,4,19,16.1,0.012210484,1.09,3,60
6,4,20,15.4,0.011526649,1.092,3,60
6,4,21,15.5,0.011770813,1.093,3,50
6,4,22,15.5,0.011770813,1.093,3,50
6,4,23,15.5,0.011853673,1.094,4,50
6,4,24,15.5,0.011770813,1.093,4,40
6,5,1,15.5,0.011742691,1.092,4,40
6,5,2,15.4,0.011664056,1.092,3,40
6,5,3,15,0.011561037,1.096,3,30
6,5,4,14.8,0.011421412,1.096,2,30
6,5,5,14.5,0.011320072,1.098,1,360
6,5,6,14.4,0.011245785,1.099,3,30
