Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
9,1,1,13.5,0.010297766,1.111,1,120
9,1,2,12.8,0.009790722,1.113,2,180
9,1,3,12.4,0.009526813,1.115,1,180
9,1,4,11.6,0.009058679,1.12,0,0
9,1,5,11,0.008702203,1.121,0,0
9,1,6,10.5,0.0084067,1.124,0,0
9,1,7,9.6,0.00784714,1.129,0,0
9,1,8,9,0.0076046,1.133,2,20
9,1,9,9.8,0.007540053,1.126,1,350
9,1,10,11.4,0.007808853,1.115,2,360
9,1,11,14.6,0.009262718,1.093,1,360
9,1,12,14.2,0.008520138,1.092,4,350
9,1,13,13.8,0.007185111,1.085,2,300
9,1,14,14.4,0.0074619,1.08,3,220
9,1,15,14.7,0.00773506,1.077,1,260
9,1,16,14.4,0.007486223,1.077,6,210
9,1,17,14.6,0.008463045,1.081,6,150
9,1,18,14.4,0.008930756,1.087,8,160
9,1,19,14.7,0.010180668,1.093,6,120
9,1,20,13.8,0.009513578,1.098,3,130
9,1,21,13.1,0.009891678,1.108,0,0
9,1,22,13,0.009936186,1.111,0,0
9,1,23,12.8,0.009801697,1.112,0,0
9,1,24,12.7,0.009652732,1.112,3,100
9,2,1,12.8,0.009812696,1.111,2,90
9,2,2,12.9,0.009921002,1.111,1,140
9,2,3,12.9,0.009962196,1.111,0,0
9,2,4,12.7,0.009798097,1.11,0,0
9,2,5,12.9,0.010096916,1.111,0,0
9,2,6,11.7,0.009151634,1.116,0,0
9,2,7,10.2,0.008293061,1.123,0,0
9,2,8,10.2,0.008129234,1.122,0,0
9,2,9,10.5,0.00800654,1.12,0,0
9,2,10,11.5,0.00769563,1.109,3,70
9,2,11,12.9,0.008635916,1.102,4,90
9,2,12,14.5,0.008499873,1.084,3,30
9,2,13,15.5,0.008572694,1.073,3,60
9,2,14,15.8,0.008494081,1.068,2,30
9,2,15,16,0.00821697,1.062,2,20
9,2,16,16.2,0.008310311,1.06,3,100
9,2,17,16.4,0.0110638,1.077,7,120
9,2,18,15.3,0.010676564,1.086,8,150
9,2,19,15,0.010680111,1.091,3,130
9,2,20,14.5,0.010551466,1.095,1,170
9,2,21,13.8,0.010567114,1.104,3,170
9,2,22,13.4,0.010326938,1.106,2,190
9,2,23,12.4,0.009816643,1.112,3,160
9,2,24,12.4,0.009816643,1.112,0,0
9,3,1,12.4,0.009816643,1.112,0,0
9,3,2,12.2,0.009480627,1.112,2,50
9,3,3,11.9,0.009257549,1.112,3,30
9,3,4,11.9,0.009309091,1.111,1,20
9,3,5,11.5,0.009262784,1.114,0,0
9,3,6,10.5,0.00864946,1.121,0,0
9,3,7,9.4,0.008026887,1.126,0,0
9,3,8,10.5,0.008025398,1.117,2,30
9,3,9,11.5,0.008411554,1.112,2,50
9,3,10,13.3,0.009011883,1.098,3,40
9,3,11,14.5,0.008922134,1.085,4,40
9,3,12,15.6,0.009019747,1.075,3,10
9,3,13,15.6,0.008254648,1.068,4,350
9,3,14,15.5,0.00753609,1.063,0,0
9,3,15,16.3,0.00773789,1.055,0,0
